KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'3018.013;0;0;0
'3018.02;0;0;0
'3018.021;0;0;0
'3018.04;0;0;0
'3018.05;0;0;0
'3018.06;0;0;0
'3018.061;0;0;0
'3020;0;0;0
'3020.01;0;0;0
'3020.05;0;0;0
'3020.053;0;0;0
'3020.09;0;0;0
'3020.11;0;0;0
'3020.16;0;0;0
'3020.17;0;0;0
'3021;0;0;0
'3021.022;0;0;0
'3021.07;0;0;0
'3023;0;0;0
'3023.02;0;0;0
'3023.03;0;0;0
'3023.05;0;0;0
'3023.061;0;0;0
'3023.062;0;0;0
'3023.063;0;0;0
'3023.064;0,01;0,12;0,12
'3023.14;0;0;0
'3023.19;0;0;0
'3023.20;0;0;0
'3023.21;0;0;0
'3023.22;0;0;0
'3023.23;0;0;0
'3023.24;0;0;0
'3025.01;0,01;0,12;0,12
'3025.07;0;0;0
'3025.08;0;0;0
'3025.09;0;0;0
'3025.10;0;0;0
'3026.01;0;0;0
'3026.03;0;0;0
'3026.05;0;0;0
'3026.06;0;0;0
'3026.07;0;0;0
'3026.08;394,28;339,14;369,26
'3026.09;0,01;0,12;0
'3027;21,14;17,87;0
'3028;18,42;7,69;1,1
'3028.01;0,01;0,12;0
'3028.011;0;0;0
'3028.013;49,27;0;0
'3028.03;0;0;0
'3028.031;0;0;0
'3028.032;0;0;0
'3028.033;0,01;0,12;0,12
'3028.034;0;0;0
'3028.04;0;0;0
'3028.05;0;0;0
'3028.051;0;0;0
'3028.06;0;0;0
'3028.07;0;0;0
'3028.08;0;0;0
'3028.081;0;0;0
'3028.09;0;0;0
'3028.10;0;0;0
'3028.11;0;0;0
'3028.13;0;0;0
'3029;0;0;0
'3029.01;0;0;0
'3029.03;0;0;0
'3030;0;0;0
'3030.011;0;0;0
'3030.03;0;0;0
'3030.05;0;0;0
'3030.06;0;0;0
'3030.07;237,29;213,6;279,13
'3031;0;0;0
'3033;0;0;0
'3033.03;0;0;0
'3033.031;0;0;0
'3033.04;0,37;0;0
'3033.05;0;0;0
'3034;0;0;0
'3034.02;0;0;0
'3034.03;0;0;0
'3034.04;0;0;0
'3035;0;0;0
'3035.01;0;0;0
'3035.03;0;0;0
'3035.08;0;0;0
'3035.09;0;0;0
'3035.10;0;0;0
'3036;0;0;0
'3037;0;0;0
'3037.04;0;0;4,69
'3037.05;24,04;38,02;38,25
'3037.06;0;0;0
'3037.07;0;0;0
'3037.08;0;0;0
'3039;0;0;0
'3039.011;0;0;0
'3039.012;0;0;0
'3039.02;0;0;0
'3039.03;0;0;0
'3041;0;0;0
'3042;0;0;0
'3042.03;0;0;0
'3042.04;0;0;0
'3043;0;0;0
'3043.01;0;0;0
'3043.021;0;0;0
'3044;0;0;0
'3044.01;0;0;0
'3044.02;0;0;0
'3044.03;0,01;0,12;0
'3045;0;0;0
'3045.01;0;0;0
'3045.022;0;0;0
'3045.04;0;0;0
'3045.05;0;0;0
'3045.06;0;0;0
'3045.07;0;0;0
'3045.08;0;0;0
'3046;0;0;0
'3047;0;0;0
'3047.01;0;0;0
'3047.011;0;0;0
'3047.07;0;0;0
'3047.08;0;0;0
'3047.09;0;0;0
'3048;0;0;0
'3048.02;0;0;0
'3048.03;0;0;0
'3048.031;0;0;0
'3048.032;0;0;0
'3048.033;0;0;0
'3048.034;0;0;0
'3048.035;0,81;1,76;1,9
'3048.036;0,01;0,12;0
'3049;227,02;257,96;170,27
'3050;0;0;0
'3050.02;0;0;0
'3050.03;0,01;0,12;0
'3051;0;0;0
'3051.01;0;0;0
'3051.02;0;0;0
'3052;0;0;0
'3052.01;0;0;0
'3052.02;0;0;0
'3052.03;87,39;128,98;132,27
'3052.04;0;0;0
'3052.041;0;0;0
'3053;0;0;0
'3054;0;0;0
'3054.03;0;0;0
'3054.06;0;0;0
'3054.07;0;0;0
'3054.08;0;0;0
'3054.09;0;0;0
'3056.01;0;0;0
'3056.012;0;0;0
'3056.05;0;0;0
'3056.06;0;0;0
'3056.061;0;0;0
'3056.07;98,35;37,88;0
'3057;0;0;0
'3057.011;0;0;0
'3057.081;0;0;0
'3057.10;0;0;0
'3057.12;0;0;0
'3057.121;0;0;0
'3057.13;0;0;0
'3057.14;0;0;0
'3058;0;0;0
'3058.03;0;0;103,13
'3058.04;0;0;0
'3058.05;0;0;0
'3058.06;0;0;0
'3061;0;0;0
'3061.05;0;0;0
'3061.09;0;0;0
'3066;231,27;241,62;266,59
'3066.01;0;0;0
'3068.01;0;0;0
'3073;0;0;0
'3073.051;0;0;0
'3073.06;0;0;0
'3073.062;0;0;0
'3073.063;0;0;0
'3073.073;0;0;0
'3073.14;0;0;0
'3073.15;0;0;0
'3075;0;0;0
'3085;0;0;0
'3086;0;0;0
'3086.01;0;0;0
'3087;0;0;0
'3088;0;0;0
'3088.04;0;0;0
'3088.06;0;0;0
'3088.07;0;0;0
'3088.08;0;0;0
'3088.09;0;0;0
'3088.10;0,01;0,12;0
'3089;0,71;1,99;2,02
'3089.011;0;0;0
'3089.02;0;0;0
'3089.021;0;0;0
'3089.03;0;0;0
'3089.06;0;0;0
'3089.09;0;0;0
'3089.091;0;0;0
'3091;0;0;0
'3091.02;0;0;0
'3091.03;0;0;0
'3091.04;0;0;0
'3093;0;0;0
'3093.02;0;0;0
'3094.01;0;0;0
'3094.02;0;0;0
'3095;0;0;0
'3097;0;0;0
'3105;0;0;0
'3105.02;0;0;0
'3108;0;0;0
'3113.01;0;0;0
'3113.04;0;0;0
'3113.041;0;0;0
'3113.042;0;0;0
'3113.06;0;0;0
'3113.10;0;0;0
'3113.13;0;0;0
'3113.14;0;0;0
'3113.15;0;0;0
'3113.15 F;0;0;0
'3113.17;0;0;0
'3113.18;0;0;0
'3114.02;0;0;0
'3115;0;0;0
'3116;0;0;0
'3116.01;0;0;0
'3120.01;0;0;0
'3120.05;0;0;0
'3121;0;0;0
'3121.04;0;0;0
'3123;0;0;0
'3123.02;0;0;0
'3123.03;0;0;0
'3123.051;0;0;0
'3123.07;0;0;0
'3123.08;0;0;0
'3123.11;0;0;0
'3123.12;0;0;0
'3123.13;0;0;0
'3123.131;0;0;0
'3123.14;0;0;0
'3123.15;0;0;0
'3123.16;0;0;0
'3123.17;0;0;0
'3123.18;0;0;0
'3123.19;0;0;0
'3123.20;0;0;0
'3124;0;0;0
'3124.02;0;0;0
'3127;0;0;0
'3127.02;0;0;0
'3127.03;0;0;0
'3131;0;0;0
'3131.02;0;0;0
'3134;0;0;0
'3134.02;0;0;0
'3137;0;0;0
'3137.01;0;0;0
'3137.02;0;0;0
'3137.06;0;0;0
'3137.07;0;0;0
'3137.071;0;0;0
'3137.08;0;0;0
'3137.081;0;0;0
'3137.082;0;0;0
'3137.084;0;0;0
'3137.085;0;0;0
'3137.09;0;0;0
'3137.10;0;0;0
'3137.11;0;0;0
'3142;0;0;0
'3143;0;0;0
'3144;0;0;0
'3144.01;0;0;0
'3145;0;0;0
'3145.02;0;0;0
'3145.03;0;0;0
'3149;0;0;0
'3150;0;0;0
'3150.02;0,73;0,7;48,95
'3150.045;0;0;0
'3150.05;0;0;0
'3150.08;0;0;0
'3151;0;0;0
'3151.02;0;0;0
'3151.021;0;0;0
'3151.04;0;0;0
'3151.07;0;0;0
'3151.08;0;0;0
'3151.09;0;0;0
'3151.10;43,63;44,16;44,72
'3152;0;0;0
'3152.04;0;0;0
'3152.05;0;0;0
'3152.06;0;0;0
'3153;0;26,84;28,66
'3153.02;0;0;0
'3153.03;0;0;0
'3153.04;105,91;97,56;84,0
'3154;0;0;0
'3155;0;0;0
'3163;0;0;0
'3163.03;0;0;0
'3163.04;0;0;0
'3163.042;0;204,7;233,29
'3163.05;0;0;0
'3163.06;0;0;0
'3164;0;0;0
'3164.01;0;0;0
'3164.02;213,23;195,35;183,69
'3165;0;0;0
'3165.06;0;0;0
'3165.061;0;0;0
'3165.062;0;0;0
'3165.063;0;0;0
'3165.065;0;0;0
'3165.066;0;0;0
'3165.07;0;0;0
'3165.076;39,74;34,47;103,81
'3165.07-S;0;0;0
'3165.09;0;0;0
'3165.12;0;0;0
'3165.13;0;0;0
'3165.14;0;0;0
'3165.14-S;0;0;0
'3165.15;0;0;0
'3165.16;0,85;10,7;28,85
'3166;0;0;0
'3167;0;0;0
'3167.01;0;0;0
'3168;0;0;0
'3168.011;0;0;0
'3168.013;0;0;0
'3168.02;0;0;0
'3168.021;0;0;0
'3168.04;0;0;0
'3168.05;0;0;0
'3168.06;0;0;0
'3168.07;0;0;0
'3168.08;0;0;0
'3175;0;0;0
'3175.04;0;0;0
'3188.01;0;0;0
'3188.02;0;0;0
'3188.021;0;0;0
'3188.022;0;0;0
'3188.023;0;0;0
'3188.04;0;0;0
'3188.05;0;0;0
'3195;0;0;0
'3198;0;0;0
'3198.01;0;0;0
'3200;0;0;0
'3200.03;0;0;0
'3201;0,31;1,79;30,49
'3201.01;0;0;0
'3201.011;0;0,71;0
'3201.03;0;0;0
'3201.032;0;0;0
'3201.034;0;0;0
'3201.035;0;0;0
'3201.036;20,02;7,52;8,66
'3201.037;0;0;0
'3201.038;0;0;0
'3201.039;0;0;0
'3201.091;0;0;0
'3201.092;0;0;0
'3201.11;0;0;0
'3201.12;0;0;0
'3201.14;0;0;0
'3201.17;0;0;0
'3201.21;0;0;0
'3201.211;0;0;0
'3201.22;0;0;0
'3201.23;0;0;0
'3201.231;0;0;0
'3201.24;0;0;0
'3201.26;0;0;0
'3201.27;0;0;0
'3201.28;0;0;0
'3201.29;0;0;0
'3201.32;0;0;0
'3201.33;0;0;0
'3201.34;0;0;0
'3201.35;0;0;0
'3201.36;0;0;0
'3201.37;0;0;0
'3201.371;0;0;0
'3201.372;0;0;0
'3201.38;106,5;173,05;178,2
'3201.39;0;0;0
'3203;0;0;0
'3203.01;0;0;0
'3203.011;0;0;0
'3203.02;0;0;0
'3203.05;0;0;0
'3203.10;0;0;0
'3203.16;0;0;0
'3203.17;0;0;0
'3203.18;0;0,01;0
'3203.19;0;0,73;0
'3205;0;0;0
'3205.01;0;0;0
'3213;0;0;0
'3213.011;0;0;0
'3213.03;0;0;0
'3213.031;0;0,01;0,12
'3213.033;1,15;0;9,44
'3213.034;0;0;0
'3213.051;0;0;0
'3213.055;0;0;0
'3213.06;0;0;0
'3213.07;0,71;1,99;2,02
'3213.08;0;0;0
'3213.10;0;0;0
'3213.101;0;0;0
'3213.11;0;0;0
'3213.12;0;0;0
'3214;0;0;0
'3216;0;0;0
'3216.01;0;0;0
'3216.02;0;0;0
'3217;0;0;0
'3217.02;0;0;0
'3217.03;0;0;0
'3218;100,01;99,11;97,05
'3218.01;0;0;0
'3218.02;0;0;0
'3219;0;0;0
'3220;0;0;0
'3223;29,45;111,31;111,82
'3223.03;0;0;0
'3223.08;0;8,23;0
'3223.081;0;0;0
'3223.082;0;0;0
'3224;0;0;0
'3224.01;0;0;0
'3224.011;47,76;18,91;0
'3224.012;0;0;0
'3224.013;0;0;0
'3224.014;0;0;0
'3224.015;0,01;0,04;0,12
'3224.016;0;0;0
'3224.018;0;0;0
'3224.019;0;0;0
'3224.020;0;0;0
'3224.05;0;0;0
'3224.08;0;0;0
'3224.09;0;0;0
'3226;0;0;0
'3226.01;0;0;0
'3226.03;0;0;0
'3226.04;0;0;0
'3226.05;0;0;0
'3226.06;0;0;0
'3232;0;0;0
'3232.01;0;0;0
'3232.03;0;0;0
'3232.04;0;0;0
'3232.05;0;0;0
'3232.06;0;0;0
'3232.07;0;0;0
'3232.08;0;0;0
'3233;0;0;0
'3233.01;0;0;0
'3233.02;0;0;0
'3272;0;0;0
'3284;0;0;0
'3284.01;0;0;0
'3284.013;0;48,87;60,89
'3284.02;0;0;0
'3284.03;0;0;0
'3284.04;0;0;0
'3284.051;0;0;0
'3284.052;0;0;0
'3284.08;0;0;0
'3284.09;0;0;0
'3284.11;0;0;0
'3284.14;0;0;0
'3284.15;0;0;0
'3284.16;31,37;35,98;35,38
'3287;0;0;0
'3287.01;0;0;0
'3287.011;0;0;0
'3287.02;0;0;0
'3291;3,24;30,12;64,55
'3291.01;0;0;0
'3291.011;0;0;0
'3291.012;0;0;0
'3291.013;0;0;0
'3291.03;0;0;0
'3291.031;0;0;0
'3291.05;0;0;0
'3291.07;0;0;0
'3291.071;0;0;0
'3291.072;0;0;0
'3291.09;0;0;0
'3291.091;0;0;0
'3291.092;0;0;0
'3291.093;0;0;0
'3291.094;0;0;0
'3291.095;0;0;0
'3291.096;0;0;0
'3291.097;0;0;0
'3291.098;0;0;0
'3291.11;0;0;0
'3291.12;0;0;0
'3291.13;0;0;0
'3291.14;0;0;0
'3291.15;0;0;0
'3291.16;0;0;0
'3291.17;0;0;0
'3291.18;82,61;80,13;85,31
'3291.181;0;1,15;0
'3291.19;0;0;0
'3295.01;0;0;0
'3295.03;9,56;18,44;31,02
'3304;0;0;0
'3304.02;0;0;0
'3305.01;0;0;0
'3311;0;0;0
'3319;0;0;0
'3319.011;0;0;0
'3319.02;0;0;0
'3319.03;0;0;0
'3319.032;0;0;0
'3319.06;0;0;0
'3319.07;0;0;0
'3319.09;0;0;0
'3319.10;197,94;188,17;170,41
'3319.11;0;21,14;18,84
'3319.12;0;0;0
'3319.13;0;0;0
'3319.14;0;0;0
'3319.15;0,01;0,04;0,12
'3319.16;0;0;0
'3319.17;0;0;0
'3320.011;0;0;0
'3320.05;0;0;0
'3320.06;0;0;0
'3320.061;0;0;0
'3320.08;0;0;0
'3320.09;0;0;0
'3320.10;0;0;0
'3320.11;0;0;0
'3320.12;0;0;0
'3329;0;0;0
'3329.01;0,01;0;0
'3329.011;0;0;0
'3329.012;0;0;0
'3329.02;0;0;0
'3329.021;0;0;0
'3329.022;0;0;0
'3329.03;0;0;0
'3329.031;0;0;0
'3329.032;0;0;0
'3329.06;0;0;0
'3329.061;0;0;0
'3329.07;0;0;0
'3329.071;21,14;18,84;18,29
'3329.08;29,45;85,68;78,55
'3331;0;0;0
'3331.02;0;0;0
'3331.03;0;0;0
'3336;0;0;0
'3336.01;0;0;0
'3340;0;0;0
'3341;0;0;0
'3341.03;0;0;0
'3351;0;0;0
'3358;0;0;0
'3358.02;0;0;0
'3358.021;0;0;0
'3358.031;0;0;0
'3358.05;0;0;0
'3358.07;0;0;0
'3358.15;0;0;0
'3358.20;0;0;0
'3358.24;0;0;0
'3358.25;0;0;0
'3358.26;0;0;0
'3358.27;0;0;0
'3358.29;0;0;0
'3358.31;0;0;0
'3382;0;0;0
'3383;313,2;426,41;444,9
'3383.02;0;0;0
'3383.021;0;0;0
'3383.07;0;0;0
'3384;29,65;0;0
'3384.01;0;0;0
'3384.15;0;0;0
'3384.16;0;0;0
'3384.17;0;0;0
'3396;0;0;0
'3398;0;0;0
'3398.051;0;0;0
'3398.06;0;0;0
'3398.061;0;0;0
'3398.071;0;0;0
'3398.072;0;0;0
'3398.10;0;0;0
'3398.101;0;0;0
'3398.12;0;0;0
'3398.13;0;0;0
'3401.01;0;0;0
'3401.02;0;0;0
'3401.022;0;0;0
'3401.03;0;0;0
'3401.032;0;0;0
'3401.04;0;0;0
'3401.08;0;0;0
'3401.09;0;0;0
'3401.14;0;0;0
'3403;0;0;0
'3403.05;0;0;0
'3403.051;0;0;0
'3404.02;0;0;0
'3406;0;0;0
'3408;0;0;0
'3408.05;0;0;0
'3408.08;0;0;0
'3408.09;0;0;0
'3408.092;0;0;0
'3408.093;0;0;0
'3408.094;0;0;0
'3408.10;0;0;0
'3408.11;0;0;0
'3408.12;0;0;0
'3408.13;0;0;0
'3408.14;0;0;0
'3408.15;0;0;0
'3409;0;0;0
'3409.07;0;0;0
'3409.11;0;0;0
'3409.12;0;0;0
'3410.15;0;0;0
'3412;0;0;0
'3412.04;0;0;0
'3414;0;0;0
'3414.012;0;0;0
'3414.04;0;0;0
'3414.041;0;0;0
'3414.042;0;0;0
'3414.05;0;0;0
'3414.051;0;0;0
'3414.052;0;0;0
'3414.053;0;0;0
'3414.06;0;0;0
'3414.08;0;0;0
'3414.09;0;0;0
'3414.10;0;0;0
'3414.11;0;0;0
'3414.12;0;0;0
'3414.13;0;0;0
'3414.14;0;0;0
'3416;0;0;0
'3417;0;0;0
'3420.01;0;0;0
'3421.01;0;0;0
'3422;0;0;0
'3422.01;0;0;0
'3422.02;0;0;0
'3422.03;0;0;0
'3424.01;0;0;0
'3428;0;0;0
'3428.011;0;0;0
'3428.012;0;0;0
'3428.013;0;0;0
'3428.03;0;0;0
'3428.04;0;0;0
'3428.041;0;0;0
'3428.05;0;0;0
'3428.09;0;0;0
'3428.22;0;0;0
'3428.23;0;0;0
'3428.24;0;0;0
'3428.25;0;0;0
'3428.26;0;0;0
'3428.27;0;0;0
'3428.28;0;0;0
'3428.29;0;0;0
'3428.30;0;0;0
'3428.31;0;0;0
'3428.32;0;0;0
'3428.33;0;0;0
'3428.34;0;0;0
'3428.35;0,01;0,12;0,12
'3428.36;0;0;0
'3428.37;0;0;0
'3429;0;0;0
'3429.06;0;0;0
'3434;0;0;0
'3434.15;0;0;0
'3434.156;0;0;0
'3434.157;0;0;0
'3434.158;0;0;0
'3434.30;0;0;0
'3434.33;0;0;0
'3434.35;0;0;0
'3434.36;0;0;0
'3434.37;0;0;0
'3439;0;0;0
'3439.03;0;0;0
'3439.05;0;0;0
'3439.06;43,63;44,16;44,72
'3441;0;0;0
'3441.04;0;0;0
'3441.041;0;0;0
'3441.042;0;0;0
'3441.05;0;0;0
'3442;0;0;0
'3442.02;0;0;0
'3444;0;0;0
'3444.08;0;0;0
'3446;0;0;0
'3446.011;0;0;0
'3446.051;0;0;0
'3446.13;0;0;0
'3446.131;0;0;0
'3446.14;0;0;0
'3446.15;0;0;0
'3446.16;0;0;0
'3446.17;0;0;0
'3446.18;0;0;0
'3446.181;0;0;0
'3446.182;0;0;0
'3446.19;0;0;0
'3446.191;0;0;0
'3446.192;0;0;0
'3446.193;10,54;0;39,25
'3446.194;0;0;0
'3446.195;0;0;0
'3446.197;0;0;0
'3446.20;0;0;0
'3446.21;0;0;0
'3446.22;0;0;0
'3446.23;0;0;0
'3446.24;0;0;0
'3446.25;0,01;0,12;0,12
'3450;0;0;0
'3451.02;0;0;0
'3451.04;0;0;0
'3451.041;0;0;0
'3451.042;0;0;0
'3451.05;0;0;0
'3451.07;0;0;0
'3452;0;0;0
'3452.01;0;0;0
'3452.011;0;0;0
'3452.012;0;0;0
'3452.013;0;0;0
'3452.014;0;0;0
'3452.02;0;0;0
'3452.03;0;0;0
'3456;0;0;0
'3456.01;0;0;0
'3456.02;0;0;0
'3456.03;0;0;0
'3456.031;0;0;0
'3456.04;0;0;0
'3456.041;0;0;0
'3456.11;0;0;0
'3456.13;0;0;0
'3456.15;0;0;0
'3457;0;0;0
'3457.04;0;0;0
'3457.05;0;0;0
'3463.03;0;10,64;23,85
'3463.03 F;0;0;0
'3463.05;0;0;0
'3463.07;0;0;0
'3463.072;0;0;0
'3463.073;0;0;0
'3463.076;0;0;0
'3464;0;0;0
'3464.01;0;0;0
'3464.02;0;0;0
'3466;0;0;0
'3466.03;0;0;0
'3466.06;0;0;0
'3466.07;0;0;0
'3471;0;0;0
'3471.01;0;0;0
'3471.04;0;0;0
'3471.05;0;0;0
'3471.06;0;0;0
'3472;0;0;0
'3472.10;0;0;0
'3472.11;0;0;0
'3472.12;0;0;0
'3473;0;0;0
'3474;0;0;0
'3474.011;0;0;0
'3474.02;0;0;0
'3474.021;0;0;0
'3474.022;0;0;0
'3474.025;0;0;0
'3474.026;0;0;0
'3474.027;0;0;0
'3474.05;0;0;0
'3474.07;0;0;0
'3474.08;0;0;0
'3474.09;0;0;0
'3475.09;0;0;0
'3475.091;0;0;0
'3475.10;0;0;0
'3475.101;0;0;0
'3475.13;0;0;0
'3475.131;0;0;0
'3478;0;0;0
'3478.01;0;0;0
'3478.012;0;0;0
'3478.013;0;0;0
'3478.014;0;0;0
'3478.02;0;0;0
'3478.021;0;0;0
'3478.022;0;0;0
'3478.023;0;0;0
'3478.03;0;0;0
'3478.032;0;0;0
'3478.033;0;0;0
'3478.034;0;0;0
'3478.04;0;0;0
'3478.042;0;0;0
'3478.043;0;0;0
'3478.05;0;0;0
'3478.051;0;0;0
'3478.06;0;0;0
'3478.061;0;0;0
'3478.062;0;0;0
'3478.18;0;0;0
'3478.181;0;0;0
'3478.182;0;0;0
'3480;0;0;0
'3480.02;0;0;0
'3480.03;0;0;0
'3480.05;0;0;0
'3482;0;0;0
'3483;0;0;0
'3483.01;0;0;0
'3483.03;0;0;0
'3483.041;0;0;0
'3483.05;0;0;0
'3484;0;0;0
'3484.011;0;0;0
'3484.02;0;0;0
'3486;0;0;0
'3487.01;0;0;0
'3487.03;0;0;0
'3494;0;0;0
'3494.05;0;0;0
'3494.07;0;0;0
'3497;0;0;0
'3501;0,71;1,76;1,9
'3501.023;0;0;0
'3501.07;0;0;0
'3501.08;0;0;0
'3501.09;0;0;0
'3501.091;0;0;0
'3501.092;0;0;0
'3501.093;0;0;0
'3501.094;0;0;0
'3501.095;0;0;0
'3501.096;0;0;0
'3501.10;0;0;0
'3501.111;0;0;0
'3501.13;0,73;1,42;1,11
'3501.14;0;0;0
'3501.15;16,6;18,51;18,51
'3502;0;0;0
'3502.01;0;0;0
'3502.011;0;0;0
'3502.012;231,53;245,18;237,73
'3502.013;0;0;0
'3502.014;0;0;0
'3502.016;0;0;0
'3502.018;0;0;0
'3502.019;0;0;0
'3502.023;0;0;0
'3502.024;0;0;0
'3502.025;0;0;0
'3502.05;0;0;0
'3502.051;0;0;0
'3502.052;0;0;0
'3502.07;0;0;0
'3502.071;0;0;0
'3502.073;0;0;0
'3502.074;0;0;0
'3502.075;0;0;0
'3502.076;0;0;0
'3502.13;0;0;0
'3502.131;0;0;0
'3502.132;1,15;1,3;1,3
'3502.133;0;0;0
'3502.14;0;0;0
'3502.141;0;0;0
'3502.142;0;0;0
'3502.143;0;0;0
'3502.144;0;0;0
'3502.16;0;0;0
'3502.18;0;0;0
'3502.19;0;0;0
'3502.191;0;0;0
'3502.20;0;0;0
'3502.201;0;0;0
'3502.202;0;0;0
'3502.203;0;0;0
'3502.21;0;0;0
'3502.211;0;0;0
'3502.25;0;0;0
'3502.26;0;0;0
'3502.27;0;0;0
'3503;0;0;0
'3503.01;0;0;0
'3503.011;0;0;0
'3503.02;0;0;0
'3503.03;0;0;0
'3503.031;0;0;0
'3503.04;0;0;0
'3503.041;0;0;0
'3503.06;0;0;0
'3503.061;0;0;0
'3503.062;0;0;0
'3503.0621;0;0;0
'3503.063;0;0;0
'3503.064;0;0;0
'3503.065;0;0;0
'3503.081;0;0;0
'3503.11;0;0;0
'3503.14;0;0;0
'3505;0;0;0
'3505.06;0;0;0
'3512.03;0;0;0
'3514;0;0;0
'3514.01;0;0;0
'3514.04;0;0;0
'3514.041;0;0;0
'3514.042;0;15,26;0
'3514.05;0;0;0
'3514.06;0;0;0
'3514.07;0;0;0
'3514.09;0;0;0
'3514.10;0;0;0
'3514.14;0;0;0
'3518;0;0;0
'3518.03;0;0;0
'3518.04;0;0;0
'3522;0;0;0
'3522.02;0;0;0
'3522.03;0;0;0
'3522.031;0;0;0
'3527;0;0;0
'3529;0;0;0
'3532.06;0;0;0
'3532.062;0;0;0
'3532.07;0;0;0
'3536;0;0;0
'3539;0;0;0
'3545;0;0;0
'3546;0;0;0
'3547;0;0;0
'3547.02;0;0;0
'3547.04;0;0;0
'3548;0;0;0
'3548.02;0;0;0
'3548.03;0;0;0
'3548.031;0;0;0
'3553.02;0;0;0
'3560;0;0;0
'3561;0;0;0
'3561.01;0;0;0
'3561.011;0;0;0
'3561.03;0;0;0
'3561.04;0;0;0
'3561.041;0;0;0
'3561.07;0;0;0
'3561.08;0;0;0
'3561.081;0;0;0
'3561.09;0;0;0
'3566.02;0;0;0
'3567.03;0;0;0
'3570;0;0;0
'3570.02;0;0;0
'3571;0;0;0
'3571.04;0;0;0
'3571.08;0;0;0
'3571.09;0;0;0
'3574;0;0;0
'3574.02;0;0;0
'3574.03;0;0;0
'3574.031;0;0;0
'3574.032;0;0;0
'3574.05;0;0;0
'3574.071;0;0;0
'3574.09;0;0;0
'3574.091;0;0;0
'3574.10;0;0;0
'3574.11;0;0;0
'3575;0;0;0
'3575.01;0;0;0
'3575.03;0;0;0
'3575.04;0;0;0
'3576;0;0;0
'3576.01;0;0;0
'3578;0;0;0
'3579;0;0;0
'3584;0;0;0
'3584.011;0;0;0
'3584.012;0;0;0
'3584.013;0;0;0
'3584.04;0;0;0
'3584.05;0;0;0
'3585;0;0;0
'3585.01;0;0;0
'3586;0;0;0
'3587;0;0;0
'3587.01;0;0;0
'3593;0;0;0
'3593.01;0;0;0
'3593.02;0;0;0
'3593.03;99,11;111,11;196,31
'3593.04;207,85;297,22;213,85
'3594;0;0;0
'3594.01;0;0;0
'3594.02;0;0;0
'3594.03;0;0;0
'3594.07;0;0;0
'3594.071;0;0;0
'3594.072;0;0;0
'3594.08;0;0;0
'3594.10;0;0;0
'3594.11;0;0;0
'3594.14;0;0;0
'3594.16;0;0;0
'3594.18;0;0;0
'3594.19;0;0;0
'3594.20;0;0;0
'3599;0;0;0
'3599.011;0;0;0
'3599.012;0;0;0
'3599.03;0;0;0
'3599.04;0;0;0
'3599.07;0;0;0
'3599.071;0;0;0
'3599.072;0;0;0
'3599.073;0;0;0
'3599.08;1,31;0;0
'3599.081;0;0;0
'3599.082;0;0;0
'3599.12;0;0;0
'3599.13;0,01;0,12;0,12
'3604;0;0;0
'3607;0;0;0
'3610;0;0;0
'3610.01;0;0;0
'3610.04;0;0;0
'3613;0;0;0
'3614;0;0;0
'3614.01;0;0;0
'3614.02;0;0;0
'3614.06;0;0;0
'3614.061;0;0;0
'3614.07;0;0;0
'3614.071;0;0;0
'3614.08;0;0;0
'3614.081;0;0;0
'3615;0;0;0
'3619;0;0;0
'3622;0;0;0
'3624;0;0;0
'3624.04;0;0;0
'3627.03;0;0;0
'3627.031;0;0;0
'3627.05;0;0;0
'3627.06;0;0;0
'3629;0;0;0
'3629.021;0;0;0
'3629.03;11,75;12,51;11,05
'3629.031;0,81;0,04;0
'3629.032;0,01;0,12;0
'3629.033;0;0;0
'3629.034;0;0;21,56
'3629.035;47,54;5,07;17,8
'3629.036;0;0;0
'3629.038;47,77;4,9;0,29
'3629.04;0;0;0
'3629.05;0;0;0
'3630.01;0;0;0
'3632.04;0;0;0
'3632.116;0;0;0
'3632.117;0;0;0
'3632.1171;0;0;0
'3632.1172;0;0;0
'3632.118;0;0;0
'3633;0;0;0
'3633.01;0;0;0
'3633.04;0;0;0
'3633.05;0;0;0
'3633.06;0;0;0
'3633.07;0;0;0
'3639.051;0;0;0
'3640.00;0;0;0
'3640.011;0;0;0
'3641;0;0;0
'3641.01;0;0;0
'3641.011;0;0;0
'3642.01;0;0;0
'3642.011;0;0;0
'3643;0;0;0
'3650;0;0;0
'3652;0;0;0
'3659;0;0;0
'3660.03;0,44;1,18;1,3
'3660.04;0;0;0
'3663;0;0;0
'3663.01;0;0;0
'3663.05;0;0;0
'3667.171;0;0;0
'3669;0;0;0
'3671;0;0;0
'3671.01;0;0;0
'3671.02;0;0;0
'3671.06;0;0;0
'3671.081;0;0;0
'3671.082;0;0;0
'3671.10;0;0;0
'3671.111;0;0;0
'3671.151;0;0;0
'3671.16;0;0;0
'3671.17;0;0;0
'3671.171;0;0;0
'3671.175;0;0;0
'3671.21;0;0;0
'3671.25;0;0;0
'3671.26;0;0;0
'3671.27;0;0;0
'3671.28;0;0;0
'3671.29;0;0;0
'3671.30;0;0;0
'3671.31;0;0;0
'3671.32;0;0;0
'3671.33;0;0;0
'3671.34;0;0;0
'3671.35;0;0;0
'3673;13,57;11,28;10,2
'3673.01;0;0;0
