KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'0169.00;0;0;0
'0169.04;41,07;85,72;65,35
'0170;0;0;0
'0171;0;0;0
'0172;4,48;4,45;10,34
'0173;0;0;0,01
'0174;0;0;0
'0175;531,45;715,27;743,18
'0176;2,74;4,04;4,6
'0177;0;0;0
'0178;0;0;0
'0179;0;0;0
'0179.01;8,59;8,57;8,66
'0179.02;33,13;36,18;33,14
'0179.03;6,75;7,61;8,66
'0180;15,18;15,07;15,95
'0180.02;14,55;15,24;34,03
'0181;0;0;0
'0182;0;0;0
'0184;650,19;655,02;843,47
'0184.01;0;0;0
'0184.02;0;0,01;19,14
'0184.03;0,01;2,85;2,81
'0184.04;49,83;40,5;36,95
'0185;0;0;0
'0186;16,7;88,02;39,69
'0188;412,49;437,93;433,39
'0188.03;0;5,96;0
'0191.01;0;0;0
'0192;38,56;65,91;53,44
'0192.03;3,8;2,43;2,67
'0192.09;0;0;0
'0192.11;0;0;0
'0193;15,58;10,04;13,19
'0195.;33,06;22,25;26,62
'0196;2,19;1,96;2,21
'0197;167,87;85,87;33,08
'0198;212,11;344,05;213,28
'0198.01;0;0;0
'0200;19,54;29,32;21,08
'0200.03;0;0;0
'0201;2,59;7,4;10,02
'0201.03;0;0;0
'0201.07;0;0;0
'0201.08;0;0;0
'0214;0;0;0
'0226;0;0;0
'0229;385,28;317,7;426,61
'0294.01;178,3;275,12;212,5
'0296;0;27,37;34,27
'0297;35,83;38,45;41,0
'0298;0;0;0
'0312;0;0;0
'0312.00.11;21,62;24,26;21,99
'0312.02;0;0;0
'0312.04;2,29;2,62;2,82
'0312.05;6,24;7,36;8,59
'0312.14;4,6;4,6;1,93
'0313;0;0;0
'0313.00.11;0,01;0,12;0,12
'0313.00.13;7,65;8,61;8,66
'0313.07;2,81;2,81;2,81
'0313.08;4,54;4,6;4,6
'0313.11;0;0;0
'0313.13;0,01;0,82;0,7
'0313.14;9,44;10,04;7,17
'0327;359,26;483,99;386,75
'0329;267,66;215,29;214,92
'0330;36,23;150,39;156,58
'0331;6,7;4,3;2,21
'0332;2,62;2,2;3,75
'0332.02;31,34;27,37;24,62
'0332.07;13,96;29,16;23,03
'0332.08;0;0;0
'0332.13;0;0;0
'0332.15;0;0;0
'0333;261,66;226,15;253,63
'0333.05;0;0;0
'0333.06;0;0;0
'0333.08;0;1,63;0
'0334;32,23;25,98;28,93
'0339;0;0;0
'0342.;26,18;20,37;55,55
'0356.01;0;0;0
'0357;0;0;17,56
'0357.04;1,89;3,71;0
'0357.09;0;0;0
'0362;149,4;177,15;369,35
'0362.01;0;0;0
'0365;0;0,01;0
'0365.01;0;0;0
'0365.05;29,22;41,52;51,98
'0366.;23,81;72,8;88,98
'0369;0;0;0
'0370;435,06;281,54;344,75
'0370.07;0;0;0
'0373;12,6;58,99;104,55
'0373.01;2,02;0,91;0
'0373.02;0;0;0
'0373.04;8,61;10,85;13,3
'0373.05;8,61;8,57;8,66
'0373.06;46,8;59,94;74,06
'0373.09;8,17;6,97;16,29
'0382.02;8,69;8,61;8,66
'0394;17,03;46,25;30,7
'0394.03;0;0;0
'0394.04;0;0;0
'0396.;48,75;82,75;111,31
'0396.02;0;0;0
'0399;0;0;0
'0400;6,56;5,33;0
'0400.01;4,28;4,6;15,99
'0400.02;0,01;0,12;0,12
'0400.03;0;0;0
'0400.07;0;0;0
'0402;167,74;266,22;219,19
'0410;174,53;195,93;247,48
'0410.01;0,01;0,74;0,7
'0415;0;0;0
'0415.01;4,45;4,63;11,71
'0416;274,79;256,51;241,24
'0426;0;6,17;11,39
'0429.02;5,6;6,17;7,36
'0429.03;0,01;0,12;0,12
'0429.04;0,74;0,7;0,7
'0429.07;0;0;0
'0429.14;0;0;0
'0430;1008,61;924,44;1779,46
'0430.01;0;0;0
'0430.03;0;0;0
'0433;764,18;491,3;388,88
'0433.01;0;0;0
'0434;735,81;1002,24;925,87
'0434.01;0;0;0
'0434.02;8,72;22,19;30,33
'0434.04;0;0;0
'0448;0;0;0
'0458;0;0;0
'0458.01;0;0;0
'0468;23,22;49,8;83,56
'0468.02;0;0;0
'0468.03;10,1;10,16;10,2
'0469;13,24;24,14;29,58
'0470;0;0;0
'0470.09;1,98;2,73;1,36
'0471;0;0;0
'0472;0,01;1,07;0,22
'0472 L;0,01;0,94;0,01
'0472 P;0,01;0,94;0
'0474;0;0;0
'0475;0;0;6,25
'0475.02;0;0;0
'0476;51,2;63,74;95,57
'0476.02;0,98;1,83;1,15
'0478;0;0;0
'0479.01;0;0;0
'0479.03;0;0;0
